pl_hostname,pl_orbeccen,st_mass,pl_bmassj,pl_orbsmax,st_spstr,st_dist,pl_pnum,pl_radj,pl_orbper
HD 219415,0.4,1.0,1.0,3.2,K0 III,165.97,1,0.0,2093.3
HD 219828,0.101,1.18,0.066,0.0507,G0 IV,73.27,2,0.0,3.83492
HD 220074,0.14,2.2,16.64,1.6,M2 III,327.41,1,0.0,672.09998
HD 220689,0.054,1.02,1.118,3.396,G3 V,46.94,1,0.0,2266.4
HD 220773,0.51,1.16,1.45,4.94,F9,49.0,1,0.0,3724.7
HD 221287,0.08,1.25,3.09,1.25,F7 V,56.01,1,0.0,456.1
HD 222155,0.16,1.21,2.12,5.14,G2 V,50.68,1,0.0,3999.0
HD 222582,0.73,1.12,8.37,1.34,G5 V,42.21,1,0.0,572.38
HD 224693,0.104,1.31,0.7,0.191,G2 V,93.75,1,0.0,26.6904
HD 231701,0.13,1.21,1.13,0.567,F8 V,109.22,1,0.0,141.63
HD 233604,0.05,1.5,6.575,0.747,K5,868.63,1,0.0,192.0
HD 240210,0.15,0.82,5.21,1.16,K3 III,142.86,1,0.0,501.75
HD 240237,0.4,8.76,15.89,1.92,K2 III,958.16,1,0.0,745.70001
HD 290327,0.08,0.84,2.43,3.43,G8 V,56.52,1,0.0,2443.0
HD 285968,0.0,0.45,0.026,0.066,M2 V,9.47,1,0.0,8.7836
KOI-351,0.0,1.2,0.0,0.32,0,780.0,8,0.256,59.73667
KOI-351,0.0,1.2,0.0,0.42,0,780.0,8,0.237,91.93913
KOI-351,0.0,1.2,0.0,0.48,0,780.0,8,0.257,124.9144
KOI-351,0.0,1.2,0.0,0.71,0,780.0,8,0.723,210.60697
KOI-351,0.0,1.2,0.0,1.01,0,780.0,8,1.008,331.60059
Kepler-91,0.0,1.31,0.81,0.0731,K3,1344.56,1,1.367,6.24658
Kepler-92,0.0,0.0,0.202,0.0,0,484.62,3,0.313,13.749
Kepler-92,0.0,0.0,0.019,0.0,0,484.62,3,0.232,26.723
Kepler-93,0.0,1.09,0.0143,0.0,0,96.18,2,0.14,4.72674
Kepler-93,0.0,1.09,3.0,0.0,0,96.18,2,0.0,1460.0
Kepler-94,0.0,0.81,0.034,0.0,M0 V,192.97,2,0.313,2.50806
Kepler-94,0.0,0.81,9.836,0.0,M0 V,192.97,2,0.0,820.3
Kepler-95,0.0,1.08,0.041,0.0,0,451.38,1,0.305,11.5231
Kepler-96,0.0,1.0,0.027,0.0,0,123.32,1,0.238,16.2385
Kepler-97,0.0,0.94,0.011,0.0,0,405.58,2,0.132,2.58664
Kepler-97,0.0,0.94,1.08,0.0,0,405.58,2,0.0,789.0
Kepler-98,0.0,0.99,0.011,0.0,0,353.87,1,0.178,1.54168
Kepler-99,0.0,0.79,0.019,0.0,0,209.63,1,0.132,4.60358
Kepler-100,0.0,1.08,0.023,0.0,0,307.34,3,0.118,6.88705
Kepler-125,0.0,0.0,0.0,0.041,M1 V,184.34,2,0.211,4.164389
Kepler-125,0.0,0.0,0.0,0.051,M1 V,184.34,2,0.066,5.774464
Kepler-126,0.0,0.0,0.0,0.099,0,239.03,3,0.136,10.495711
Kepler-126,0.0,0.0,0.0,0.162,0,239.03,3,0.141,21.869741
Kepler-126,0.0,0.0,0.0,0.448,0,239.03,3,0.223,100.283134
Kepler-127,0.0,0.0,0.0,0.125,0,356.41,3,0.125,14.435889
Kepler-127,0.0,0.0,0.0,0.2,0,356.41,3,0.237,29.393195
Kepler-127,0.0,0.0,0.0,0.28,0,356.41,3,0.236,48.630408
Kepler-128,0.0,1.09,0.00242,0.0,0,400.93,2,0.128,15.09
Kepler-128,0.0,1.09,0.00283,0.0,0,400.93,2,0.12,22.804
Kepler-129,0.0,0.0,0.0,0.131,0,413.68,2,0.211,15.79186
Kepler-129,0.0,0.0,0.0,0.393,0,413.68,2,0.227,82.20017
