pl_hostname,pl_orbeccen,st_mass,pl_bmassj,pl_orbsmax,st_spstr,st_dist,pl_pnum,pl_radj,pl_orbper
Kepler-82,0.0,0.91,0.0,0.034,0,927.97,5,0.158,2.382961
Kepler-82,0.0,0.91,0.0,0.063,0,927.97,5,0.22,5.902206
Kepler-83,0.0,0.0,0.0,0.0,M0 V,405.01,3,0.252,9.77
Kepler-83,0.0,0.0,0.0,0.0,M0 V,405.01,3,0.211,20.09
Kepler-83,0.0,0.0,0.0,0.051,M0 V,405.01,3,0.173,5.169796
Kepler-84,0.0,0.0,0.0,0.0,0,1443.27,5,0.199,8.726
Kepler-84,0.0,0.0,0.0,0.0,0,1443.27,5,0.211,12.883
HAT-P-23,0.11,0.58,1.34,0.0,G0,368.61,1,1.09,1.21288
HAT-P-24,0.07,1.37,0.75,0.0,F8,420.26,1,1.3,3.35524
HAT-P-25,0.023,1.01,0.569,0.0466,G5,302.95,1,1.135,3.65281514
HAT-P-26,0.12,1.12,0.07,0.0,K1,142.41,1,0.63,4.23452
HAT-P-27,0.0,0.94,0.62,0.04,G8,204.0,1,1.02,3.039577
HAT-P-28,0.051,1.02,0.626,0.0434,G3,395.0,1,1.212,3.257215
HAT-P-29,0.09,1.45,0.88,0.0,F8,316.36,1,1.17,5.72319
HAT-P-30,0.04,1.55,0.83,0.0,F7,215.29,1,1.44,2.8106
HAT-P-31,0.25,1.31,2.27,0.0,0,347.48,1,1.09,5.00542
HAT-P-32,0.159,1.13,0.68,0.03397,0,291.51,1,1.98,2.1500082
HAT-P-33,0.0,1.82,0.92,0.0,F4,400.55,1,1.85,3.47447
HAT-P-34,0.432,1.39,3.33,0.06774,0,251.08,1,1.197,5.452654
HAT-P-35,0.02,1.24,1.056,0.04978,0,514.2,1,1.332,3.646706
Kepler-115,0.0,0.0,0.0,0.036,0,634.97,2,0.097,2.403679
Kepler-115,0.0,0.0,0.0,0.087,0,634.97,2,0.232,8.990889
Kepler-116,0.0,0.0,0.0,0.069,0,982.04,2,0.305,5.968734
Kepler-116,0.0,0.0,0.0,0.116,0,982.04,2,0.205,13.07163
Kepler-117,0.0493,1.13,0.094,0.1445,F8 V,1430.0,2,0.719,18.7959228
Kepler-117,0.0323,1.13,1.84,0.2804,F8 V,1430.0,2,1.101,50.790391
HD 5891,0.07,1.93,7.63,0.64,G5,285.75,1,0.0,177.11
HD 6434,0.17,1.1,0.49,0.14,G2/3 V,42.41,1,0.0,21.998
HD 6718,0.1,1.08,1.68,3.55,G5 V,51.42,1,0.0,2496.0
HD 7199,0.19,0.77,0.27,1.36,K0 IV/V,36.19,1,0.0,615.0
HD 7449,0.92,1.05,0.508,2.38,G0 V,38.71,1,0.0,1255.5
HD 7924,0.06,0.65,0.02,0.06,K0.5 V,17.0,3,0.0,5.39792
HD 7924,0.098,0.65,0.02473,0.1134,K0.5 V,17.0,3,0.0,15.299
HD 7924,0.21,0.65,0.02026,0.1551,K0.5 V,17.0,3,0.0,24.451
HD 8535,0.15,1.13,0.68,2.45,G0 V,52.5,1,0.0,1313.0
HD 8574,0.3,1.34,2.03,0.76,F8,44.88,1,0.0,227.0
HD 8673,0.723,1.35,14.2,3.02,F5,37.9,1,0.0,1634.0
HD 9446,0.2,1.0,0.7,0.189,G5 V,50.42,2,0.0,30.052
HD 9446,0.06,1.0,1.82,0.654,G5 V,50.42,2,0.0,192.9
HD 10180,0.073,1.06,0.0416,0.06412,G1 V,39.0,6,0.0,5.75969
HD 10180,0.131,1.06,0.0378,0.12859,G1 V,39.0,6,0.0,16.357
HD 10180,0.051,1.06,0.0805,0.2699,G1 V,39.0,6,0.0,49.748
HD 10180,0.119,1.06,0.0722,0.4929,G1 V,39.0,6,0.0,122.744
HD 10180,0.263,1.06,0.0732,1.427,G1 V,39.0,6,0.0,604.67
Kepler-1188,0.0,1.04,0.0,0.0,0,1202.0,1,0.186,17.1369543
Kepler-1189,0.0,1.11,0.0,0.0,0,883.0,1,0.158,3.78858982
Kepler-1190,0.0,0.76,0.0,0.0,0,384.0,1,0.119,10.45843441
Kepler-1191,0.0,0.85,0.0,0.0,0,876.0,1,0.135,5.60014851
Kepler-1192,0.0,0.86,0.0,0.0,0,1108.0,1,0.211,25.2034787
Kepler-1193,0.0,1.08,0.0,0.0,0,695.0,1,0.118,2.83265213
Kepler-1194,0.0,0.94,0.0,0.0,0,616.0,1,0.135,16.22371307
Kepler-1195,0.0,0.74,0.0,0.0,0,812.0,1,0.186,8.49642241
Kepler-1196,0.0,0.98,0.0,0.0,0,946.0,1,0.199,66.1849031
Kepler-1197,0.0,0.78,0.0,0.0,0,505.0,1,0.112,2.03231845
Kepler-1198,0.0,0.93,0.0,0.0,0,777.0,1,0.131,7.6847716
Kepler-1199,0.0,0.94,0.0,0.0,0,540.0,1,0.103,15.0447198
Kepler-1200,0.0,0.74,0.0,0.0,0,579.0,1,0.095,1.11854972
Kepler-1201,0.0,1.15,0.0,0.0,0,1202.0,1,0.204,15.18725932
Kepler-1202,0.0,1.03,0.0,0.0,0,1393.0,1,0.262,28.6851324
Kepler-1203,0.0,0.64,0.0,0.0,0,269.0,1,0.095,0.58800076
Kepler-1204,0.0,1.03,0.0,0.0,0,1282.0,1,0.272,85.7350285
Kepler-1205,0.0,0.84,0.0,0.0,0,766.0,1,0.126,1.07839035
Kepler-1206,0.0,0.8,0.0,0.0,0,807.0,1,0.146,1.21699766
HIP 109384,0.549,0.78,1.56,1.134,G5,56.2,1,0.0,499.48
HD 220842,0.404,1.13,3.18,0.74,F8,62.5,1,0.0,218.47
HD 12484,0.07,1.01,2.98,0.297,F8,51.1,1,0.0,58.83
HIP 65407,0.14,0.93,0.428,0.177,K0,55.5,2,0.0,28.125
HIP 65407,0.12,0.93,0.784,0.316,K0,55.5,2,0.0,67.3
HD 141399,0.04,1.07,0.451,0.415,K0,36.2,4,0.0,94.44
HD 141399,0.048,1.07,1.33,0.689,K0,36.2,4,0.0,201.99
HD 141399,0.074,1.07,1.18,2.09,K0,36.2,4,0.0,1069.8
HD 141399,0.26,1.07,0.66,5.0,K0,36.2,4,0.0,5000.0
KELT-4 A,0.0,1.2,0.902,0.04317,F,210.0,1,1.699,2.9895932
K2-28,0.0,0.26,0.0,0.0214,M4,63.11,1,0.207,2.260455
K2-19,0.0,0.93,0.0,0.0344,G9 V,292.14,3,0.102,2.50856
K2-31,0.0,0.91,1.774,0.022,G7 V,110.87,1,1.06,1.25785
K2-32,0.0,0.86,0.0,0.08035,G9 V,158.39,4,0.443,8.991828
K2-32,0.0,0.86,0.0,0.1862,G9 V,158.39,4,0.292,31.7142
K2-32,0.0,0.86,0.0,0.1399,G9 V,158.39,4,0.244,20.66186
WASP-119,0.058,1.02,1.23,0.0363,G5,333.0,1,1.4,2.49979
WASP-124,0.017,1.07,0.6,0.0449,F9,433.0,1,1.24,3.37265
WASP-126,0.0,1.12,0.28411,0.0,G2,234.0,2,0.0,3.28883
Kepler-902,0.0,0.95,0.0,0.0,0,904.0,1,0.227,40.1099547
Kepler-903,0.0,0.98,0.0,0.0,0,829.0,2,0.179,10.3507721
Kepler-903,0.0,0.98,0.0,0.0,0,829.0,2,0.226,62.9228557
Kepler-904,0.0,1.16,0.0,0.0,0,1151.0,1,0.158,3.02166863
Kepler-905,0.0,0.95,0.0,0.0,0,521.0,1,0.126,5.08274652
Kepler-906,0.0,1.06,0.0,0.0,0,758.0,1,0.188,41.6979976
Kepler-907,0.0,1.08,0.0,0.0,0,352.0,1,0.107,15.86621821
Kepler-908,0.0,1.11,0.0,0.0,0,250.0,1,0.109,1.34059747
Kepler-909,0.0,1.17,0.0,0.0,0,318.0,1,0.131,13.93290318
Kepler-910,0.0,1.26,0.0,0.0,0,402.0,1,0.073,2.36436901
Kepler-911,0.0,1.34,0.0,0.0,0,567.0,1,0.232,20.310501
Kepler-912,0.0,1.07,0.0,0.0,0,1265.0,1,0.25,2.53475627
Kepler-913,0.0,0.63,0.0,0.0,0,597.0,1,0.184,10.29672521
Kepler-914,0.0,1.1,0.0,0.0,0,678.0,1,0.123,4.40966548
Kepler-915,0.0,1.21,0.0,0.0,0,806.0,1,0.134,4.59489604
Kepler-916,0.0,0.85,0.0,0.0,0,769.0,1,0.157,32.2968798
Kepler-917,0.0,0.8,0.0,0.0,0,1027.0,1,0.17,2.97041437
Kepler-918,0.0,1.11,0.0,0.0,0,1245.0,1,0.155,4.85386933
Kepler-919,0.0,1.15,0.0,0.0,0,1219.0,1,0.201,11.04603384
Kepler-1013,0.0,0.81,0.0,0.0,0,433.0,1,0.192,18.93054959
Kepler-1014,0.0,0.88,0.0,0.0,0,672.0,1,0.213,16.57110363
Kepler-1015,0.0,1.49,0.0,0.0,0,932.0,1,0.317,16.00494214
Kepler-1016,0.0,0.99,0.0,0.0,0,1239.0,2,0.194,1.95452434
Kepler-1016,0.0,0.99,0.0,0.0,0,1239.0,2,0.328,105.6551369
Kepler-1017,0.0,0.93,0.0,0.0,0,554.0,1,0.178,7.23400469
Kepler-1018,0.0,0.91,0.0,0.0,0,894.0,1,0.23,49.1013514
Kepler-1019,0.0,0.7,0.0,0.0,0,198.0,1,0.13,1.41122985
Kepler-1020,0.0,0.87,0.0,0.0,0,446.0,1,0.203,96.9151496
Kepler-1021,0.0,0.89,0.0,0.0,0,837.0,1,0.208,13.47469571
Kepler-1022,0.0,0.71,0.0,0.0,0,455.0,1,0.211,10.99469878
Kepler-1023,0.0,0.93,0.0,0.0,0,686.0,1,0.235,62.1387714
Kepler-1024,0.0,0.81,0.0,0.0,0,1017.0,1,0.349,66.4162133
Kepler-1025,0.0,1.09,0.0,0.0,0,716.0,1,0.177,37.3229493
Kepler-342,0.0,0.0,0.0,0.0,0,799.59,4,0.079,1.64422461
Kepler-1026,0.0,0.79,0.0,0.0,0,389.0,1,0.197,36.5156053
Kepler-1027,0.0,0.91,0.0,0.0,0,291.0,1,0.079,1.9078052
Kepler-1028,0.0,0.9,0.0,0.0,0,633.0,1,0.119,2.51462432
Kepler-1029,0.0,0.82,0.0,0.0,0,422.0,1,0.112,4.41769648
Kepler-1207,0.0,1.06,0.0,0.0,0,946.0,1,0.145,13.68237119
Kepler-1208,0.0,0.8,0.0,0.0,0,877.0,1,0.207,11.08507637
Kepler-1209,0.0,1.23,0.0,0.0,0,558.0,1,0.135,25.369116
Kepler-1210,0.0,0.94,0.0,0.0,0,1155.0,1,0.152,8.07124073
Kepler-1211,0.0,0.96,0.0,0.0,0,1486.0,1,0.227,11.01816836
Kepler-1212,0.0,1.1,0.0,0.0,0,1304.0,1,0.191,12.94130146
Kepler-1213,0.0,1.14,0.0,0.0,0,685.0,1,0.106,5.34982412
Kepler-1214,0.0,0.85,0.0,0.0,0,757.0,1,0.211,18.82634264
Kepler-1215,0.0,0.95,0.0,0.0,0,701.0,1,0.109,4.76703963
Kepler-1216,0.0,0.99,0.0,0.0,0,1124.0,1,0.124,4.37034536
Kepler-1217,0.0,1.06,0.0,0.0,0,1363.0,1,0.178,2.03232507
Kepler-1218,0.0,1.06,0.0,0.0,0,667.0,1,0.128,22.9221266
Kepler-1219,0.0,1.25,0.0,0.0,0,622.0,1,0.189,16.10467749
Kepler-1220,0.0,1.0,0.0,0.0,0,958.0,1,0.136,7.42693741
Kepler-1221,0.0,0.87,0.0,0.0,0,909.0,1,0.168,12.00096042
Kepler-1222,0.0,0.84,0.0,0.0,0,455.0,1,0.07,1.91694425
Kepler-1223,0.0,0.8,0.0,0.0,0,455.0,1,0.109,16.301259
Kepler-1224,0.0,1.18,0.0,0.0,0,578.0,1,0.119,13.32351601
Kepler-1225,0.0,1.13,0.0,0.0,0,1241.0,1,0.162,7.01075434
WASP-129,0.096,1.0,1.0,0.0628,G1,246.0,1,0.93,5.748145
WASP-133,0.17,1.16,1.16,0.0345,G4,547.0,1,1.21,2.176423
Kepler-198,0.0,0.0,0.0,0.0,0,502.52,3,0.136,1.31184443
Kepler-624,0.0,1.1,0.0,0.0,0,731.0,1,0.206,14.58649607
Kepler-625,0.0,1.04,0.0,0.0,0,502.0,2,0.178,7.75192492
Kepler-625,0.0,1.04,0.0,0.0,0,502.0,2,0.094,4.1653651
Kepler-626,0.0,1.01,0.0,0.0,0,690.0,1,0.204,14.48585199
Kepler-627,0.0,1.3,0.0,0.0,0,1143.0,1,0.333,40.6994443
Kepler-628,0.0,1.0,0.0,0.0,0,579.0,1,0.749,15.4580567
Kepler-629,0.0,0.93,0.0,0.0,0,383.0,1,0.123,7.2385854
Kepler-630,0.0,1.02,0.0,0.0,0,657.0,1,0.284,161.4743937
Kepler-631,0.0,1.24,0.0,0.0,0,843.0,1,0.259,17.97979059
Kepler-632,0.0,0.91,0.0,0.0,0,349.0,1,0.197,30.99660733
Kepler-633,0.0,1.02,0.0,0.0,0,634.0,1,0.145,8.50340718
Kepler-634,0.0,1.03,0.0,0.0,0,757.0,1,0.169,5.16950177
Kepler-635,0.0,1.33,0.0,0.0,0,826.0,1,0.236,23.44971004
Kepler-636,0.0,0.85,0.0,0.0,0,341.0,1,0.397,16.08066115
Kepler-637,0.0,1.64,0.0,0.0,0,1575.0,1,0.424,23.20584623
Kepler-638,0.0,0.88,0.0,0.0,0,426.0,1,0.163,6.07972888
Kepler-920,0.0,0.89,0.0,0.0,0,926.0,2,0.216,6.53192704
Kepler-920,0.0,0.89,0.0,0.0,0,926.0,2,0.339,100.8274113
Kepler-921,0.0,0.93,0.0,0.0,0,847.0,1,0.256,51.300634
Kepler-922,0.0,0.95,0.0,0.0,0,558.0,1,0.127,0.93846683
Kepler-923,0.0,1.11,0.0,0.0,0,966.0,1,0.123,6.93366476
Kepler-924,0.0,1.14,0.0,0.0,0,995.0,1,0.274,61.0370117
Kepler-925,0.0,0.77,0.0,0.0,0,623.0,1,0.209,33.8678531
Kepler-926,0.0,1.01,0.0,0.0,0,771.0,1,0.206,52.0688601
Kepler-927,0.0,0.99,0.0,0.0,0,879.0,1,0.153,9.1149903
Kepler-928,0.0,0.73,0.0,0.0,0,532.0,1,0.142,3.9324613
Kepler-929,0.0,1.01,0.0,0.0,0,820.0,1,0.099,0.92103214
Kepler-930,0.0,1.25,0.0,0.0,0,905.0,1,0.19,71.4517775
Kepler-931,0.0,0.86,0.0,0.0,0,490.0,1,0.119,8.03755877
Kepler-932,0.0,0.87,0.0,0.0,0,478.0,1,0.122,1.9214374
Kepler-933,0.0,0.87,0.0,0.0,0,922.0,1,0.219,14.20443009
Kepler-934,0.0,0.81,0.0,0.0,0,603.0,1,0.186,55.6738309
Kepler-935,0.0,0.78,0.0,0.0,0,482.0,1,0.12,4.88083852
Kepler-936,0.0,0.92,0.0,0.0,0,687.0,1,0.129,10.56134221
Kepler-937,0.0,1.15,0.0,0.0,0,1482.0,2,0.332,67.668827
Kepler-1030,0.0,0.8,0.0,0.0,0,795.0,1,0.221,19.32952416
Kepler-1031,0.0,1.09,0.0,0.0,0,741.0,1,0.078,1.22621732
Kepler-1032,0.0,0.77,0.0,0.0,0,607.0,1,0.167,3.29011795
Kepler-1033,0.0,0.94,0.0,0.0,0,1425.0,1,0.224,7.56052806
Kepler-1034,0.0,0.83,0.0,0.0,0,706.0,1,0.202,12.12400943
HD 175607,0.11,0.71,0.02825,0.0,G6 V,40.38,1,0.0,29.01
HD 219134,0.148,0.81,0.02297,0.1463,K3 V,6.53,6,0.117,22.717
HD 219134,0.0,0.81,0.034,0.3753,K3 V,6.53,6,0.0,94.2
HD 219134,0.06,0.81,0.34,3.11,K3 V,6.53,6,0.0,2247.0
K2-26,0.0,0.56,0.0,0.0962,M1.0 V,99.33,1,0.238,14.5665
Kepler-1035,0.0,0.98,0.0,0.0,0,408.0,1,0.104,2.71407755
Kepler-1036,0.0,0.95,0.0,0.0,0,507.0,1,0.269,122.8808058
Kepler-1037,0.0,0.82,0.0,0.0,0,451.0,1,0.114,1.06378867
Kepler-1038,0.0,0.87,0.0,0.0,0,622.0,1,0.315,148.4603382
Kepler-1039,0.0,0.79,0.0,0.0,0,324.0,1,0.13,0.93488424
Kepler-1040,0.0,0.98,0.0,0.0,0,473.0,1,0.186,201.1214
Kepler-1041,0.0,1.06,0.0,0.0,0,979.0,1,0.262,24.7576421
Kepler-1042,0.0,0.75,0.0,0.0,0,659.0,1,0.195,10.13202575
Kepler-1043,0.0,0.92,0.0,0.0,0,838.0,1,0.227,38.5053398
Kepler-1226,0.0,1.02,0.0,0.0,0,779.0,1,0.129,17.2923453
Kepler-1227,0.0,0.97,0.0,0.0,0,667.0,1,0.204,94.2887577
Kepler-1228,0.0,0.78,0.0,0.0,0,547.0,1,0.137,0.57736958
Kepler-1229,0.0,0.54,0.0,0.0,0,236.0,1,0.125,86.828989
Kepler-1230,0.0,1.06,0.0,0.0,0,1433.0,1,0.242,9.95661537
Kepler-1231,0.0,1.01,0.0,0.0,0,948.0,1,0.127,10.41725184
Kepler-1232,0.0,0.92,0.0,0.0,0,740.0,1,0.172,26.7839183
Kepler-1233,0.0,1.16,0.0,0.0,0,1281.0,1,0.232,45.1263042
Kepler-1234,0.0,0.8,0.0,0.0,0,866.0,1,0.251,11.94014029
Kepler-1235,0.0,0.93,0.0,0.0,0,533.0,1,0.07,4.16055856
Kepler-1236,0.0,0.86,0.0,0.0,0,1078.0,1,0.191,31.0571618
Kepler-1237,0.0,0.94,0.0,0.0,0,1121.0,1,0.255,84.5733226
Kepler-639,0.0,1.14,0.0,0.0,0,680.0,1,0.212,10.21420496
Kepler-640,0.0,1.01,0.0,0.0,0,538.0,1,0.228,22.24813967
Kepler-641,0.0,1.02,0.0,0.0,0,673.0,1,0.165,9.48961571
Kepler-642,0.0,1.4,0.0,0.0,0,1022.0,1,0.259,4.41745855
Kepler-643,0.0,1.0,0.0,0.0,0,1029.0,1,0.906,16.33889626
Kepler-644,0.0,1.49,0.0,0.0,0,1413.0,1,0.281,3.1739171
Kepler-645,0.0,1.13,0.0,0.0,0,901.0,1,0.187,3.27582262
Kepler-646,0.0,0.93,0.0,0.0,0,513.0,1,0.178,15.87364565
Kepler-647,0.0,1.03,0.0,0.0,0,789.0,2,0.104,16.2254649
Kepler-648,0.0,1.05,0.0,0.0,0,665.0,1,0.287,17.4211749
Kepler-649,0.0,0.97,0.0,0.0,0,525.0,1,0.202,29.90722674
Kepler-650,0.0,1.08,0.0,0.0,0,805.0,1,0.264,3.03214559
Kepler-651,0.0,0.92,0.0,0.0,0,537.0,1,0.211,21.38521506
Kepler-217,0.0,0.0,0.0,0.0,0,1140.95,3,0.118,3.88689525
Kepler-218,0.0,0.0,0.0,0.0,0,669.02,3,0.237,124.5244647
Kepler-652,0.0,0.97,0.0,0.0,0,423.0,1,0.222,4.18200253
Kepler-653,0.0,1.02,0.0,0.0,0,593.0,2,0.174,14.70748976
Kepler-653,0.0,1.02,0.0,0.0,0,593.0,2,0.07,0.90037648
Kepler-654,0.0,1.04,0.0,0.0,0,661.0,1,0.185,13.72465129
Kepler-937,0.0,1.15,0.0,0.0,0,1482.0,2,0.238,153.343364
Kepler-938,0.0,0.92,0.0,0.0,0,861.0,1,0.198,52.6298417
Kepler-939,0.0,0.88,0.0,0.0,0,1029.0,1,0.156,14.878296
Kepler-940,0.0,0.97,0.0,0.0,0,1317.0,1,0.298,59.6225257
Kepler-941,0.0,0.89,0.0,0.0,0,1105.0,1,0.275,17.42395198
Kepler-942,0.0,0.81,0.0,0.0,0,218.0,1,0.19,44.96417488
Kepler-943,0.0,0.93,0.0,0.0,0,1239.0,1,0.529,49.7701438
Kepler-944,0.0,0.86,0.0,0.0,0,1035.0,1,0.235,43.3167737
Kepler-945,0.0,0.97,0.0,0.0,0,1543.0,1,0.235,31.0033814
Kepler-946,0.0,0.94,0.0,0.0,0,918.0,1,0.172,11.79162572
Kepler-947,0.0,0.9,0.0,0.0,0,1188.0,1,0.203,26.9644317
Kepler-948,0.0,0.96,0.0,0.0,0,884.0,1,0.165,7.76846622
Kepler-949,0.0,0.89,0.0,0.0,0,572.0,1,0.26,8.6893073
Kepler-411,0.108,0.87,0.08306,0.0739,K2 V,153.59,4,0.394,7.834435
Kepler-950,0.0,1.02,0.0,0.0,0,1489.0,1,0.801,98.7180406
Kepler-951,0.0,0.77,0.0,0.0,0,408.0,1,0.499,71.52530845
Kepler-952,0.0,1.0,0.0,0.0,0,1167.0,1,0.682,130.3546919
Kepler-953,0.0,0.95,0.0,0.0,0,240.0,2,0.376,88.40655258
Kepler-167,0.12,0.77,0.0,0.1405,K4,330.0,4,0.107,21.803855
Kepler-1044,0.0,1.08,0.0,0.0,0,1507.0,1,0.238,6.77408868
Kepler-1045,0.0,0.86,0.0,0.0,0,971.0,1,0.24,26.41045478
Kepler-1046,0.0,1.04,0.0,0.0,0,518.0,1,0.153,14.37508035
Kepler-1047,0.0,1.08,0.0,0.0,0,566.0,2,0.186,56.1886887
Kepler-1047,0.0,1.08,0.0,0.0,0,566.0,2,0.088,3.18897601
Kepler-1048,0.0,0.75,0.0,0.0,0,415.0,1,0.144,6.92101021
Kepler-1049,0.0,0.51,0.0,0.0,0,129.0,1,0.085,3.27346074
Kepler-1050,0.0,1.09,0.0,0.0,0,555.0,2,0.143,15.3787546
Kepler-1050,0.0,1.09,0.0,0.0,0,555.0,2,0.132,21.1284569
Kepler-1051,0.0,1.43,0.0,0.0,0,1021.0,1,0.303,25.96200249
Kepler-1052,0.0,1.03,0.0,0.0,0,1051.0,1,0.261,34.8538276
Kepler-1053,0.0,0.74,0.0,0.0,0,171.0,1,0.087,2.41435165
Kepler-1054,0.0,1.22,0.0,0.0,0,1050.0,1,0.235,4.30655689
Kepler-1055,0.0,0.98,0.0,0.0,0,422.0,1,0.11,2.29503623
Kepler-1056,0.0,1.12,0.0,0.0,0,971.0,1,0.269,27.495606
Kepler-1057,0.0,1.07,0.0,0.0,0,1462.0,1,0.3,14.08827448
Kepler-1058,0.0,0.73,0.0,0.0,0,525.0,1,0.243,110.96546
Kepler-1059,0.0,0.75,0.0,0.0,0,673.0,1,0.154,3.76419105
Kepler-1060,0.0,0.99,0.0,0.0,0,861.0,1,0.212,46.8779367
Kepler-1238,0.0,1.3,0.0,0.0,0,1533.0,1,0.172,4.14787559
Kepler-1239,0.0,1.4,0.0,0.0,0,2511.0,1,0.259,5.19104016
Kepler-1240,0.0,0.98,0.0,0.0,0,614.0,1,0.103,4.8663815
Kepler-1241,0.0,0.84,0.0,0.0,0,936.0,1,0.235,18.5525701
Kepler-1242,0.0,0.77,0.0,0.0,0,682.0,1,0.202,13.62798432
Kepler-1243,0.0,0.96,0.0,0.0,0,877.0,1,0.156,16.8320729
Kepler-1244,0.0,1.46,0.0,0.0,0,764.0,1,0.12,3.70428172
Kepler-1245,0.0,0.86,0.0,0.0,0,861.0,2,0.128,4.35409304
Kepler-1245,0.0,0.86,0.0,0.0,0,861.0,2,0.128,2.93658468
Kepler-1246,0.0,0.73,0.0,0.0,0,435.0,1,0.121,11.32271513
Kepler-1247,0.0,0.86,0.0,0.0,0,1094.0,1,0.208,13.71220213
Kepler-1248,0.0,1.21,0.0,0.0,0,540.0,1,0.105,7.46725407
Kepler-1249,0.0,1.19,0.0,0.0,0,1674.0,1,0.212,24.3347127
Kepler-1250,0.0,0.99,0.0,0.0,0,1371.0,1,0.171,2.60754383
Kepler-1251,0.0,0.92,0.0,0.0,0,863.0,1,0.164,45.0904643
Kepler-1252,0.0,1.06,0.0,0.0,0,828.0,1,0.149,15.0540329
Kepler-1253,0.0,0.97,0.0,0.0,0,390.0,1,0.119,68.8861915
Kepler-1254,0.0,0.78,0.0,0.0,0,676.0,3,0.138,9.99113313
Kepler-1254,0.0,0.78,0.0,0.0,0,676.0,3,0.116,3.60084276
Kepler-1254,0.0,0.78,0.0,0.0,0,676.0,3,0.117,5.72717226
Kepler-655,0.0,1.15,0.0,0.0,0,783.0,1,0.242,46.4063358
Kepler-656,0.0,0.86,0.0,0.0,0,867.0,1,0.278,1.26025909
Kepler-657,0.0,1.01,0.0,0.0,0,1244.0,1,0.314,24.54350418
Kepler-658,0.0,0.63,0.0,0.0,0,341.0,1,0.145,1.28707676
Kepler-659,0.0,0.79,0.0,0.0,0,688.0,1,0.223,17.671796
Kepler-660,0.0,0.75,0.0,0.0,0,564.0,1,0.229,9.27358194
Kepler-661,0.0,0.7,0.0,0.0,0,558.0,1,0.274,6.02930132
Kepler-662,0.0,0.79,0.0,0.0,0,641.0,1,0.194,21.67697486
Kepler-663,0.0,0.86,0.0,0.0,0,1030.0,1,0.232,4.99678284
Kepler-664,0.0,1.01,0.0,0.0,0,1386.0,1,0.237,2.52559332
Kepler-665,0.0,0.79,0.0,0.0,0,651.0,1,0.232,16.01310205
Kepler-666,0.0,1.03,0.0,0.0,0,1330.0,1,0.214,4.49876092
Kepler-667,0.0,0.91,0.0,0.0,0,907.0,1,0.422,41.43962808
Kepler-668,0.0,0.87,0.0,0.0,0,877.0,1,0.241,8.35390639
Kepler-669,0.0,1.15,0.0,0.0,0,1778.0,1,0.431,4.12554687
Kepler-670,0.0,0.99,0.0,0.0,0,980.0,1,1.176,2.81650485
Kepler-671,0.0,0.97,0.0,0.0,0,1139.0,1,0.24,4.28095859
Kepler-672,0.0,0.95,0.0,0.0,0,1011.0,1,0.223,38.3774623
Kepler-673,0.0,0.88,0.0,0.0,0,978.0,1,0.583,3.72873109
Kepler-167,0.062,0.77,0.0,1.89,K4,330.0,4,0.906,1071.23228
HIP 8541,0.16,1.17,5.5,2.8,K2 III/IV,168.63,1,0.0,1560.2
HIP 74890,0.07,1.74,2.4,2.1,K1 III,91.49,1,0.0,822.3
Kepler-953,0.0,0.95,0.0,0.0,0,240.0,2,0.106,9.10967112
Kepler-1275,0.0,1.23,0.0,0.0,0,1280.0,1,0.132,3.65691115
Kepler-1276,0.0,1.14,0.0,0.0,0,587.0,1,0.106,12.5720095
Kepler-1277,0.0,0.94,0.0,0.0,0,606.0,1,0.143,40.8365012
Kepler-1278,0.0,1.11,0.0,0.0,0,743.0,1,0.09,3.23941344
Kepler-1279,0.0,1.21,0.0,0.0,0,1017.0,1,0.156,23.4774101
Kepler-1280,0.0,1.2,0.0,0.0,0,1006.0,1,0.167,66.5579057
Kepler-1281,0.0,0.87,0.0,0.0,0,1090.0,1,0.146,3.11602791
Kepler-1282,0.0,0.92,0.0,0.0,0,1126.0,1,0.138,2.13194651
Kepler-1283,0.0,1.16,0.0,0.0,0,1452.0,1,0.17,12.9460978
Kepler-1284,0.0,0.84,0.0,0.0,0,852.0,1,0.108,0.66407381
Kepler-1285,0.0,1.2,0.0,0.0,0,364.0,1,0.087,14.7967458
Kepler-1286,0.0,1.0,0.0,0.0,0,1150.0,1,0.192,11.25402929
Kepler-1287,0.0,0.96,0.0,0.0,0,1027.0,1,0.137,11.47685909
Kepler-1288,0.0,1.2,0.0,0.0,0,715.0,1,0.1,2.76122421
Kepler-1289,0.0,1.1,0.0,0.0,0,1059.0,1,0.136,7.99019627
Kepler-1061,0.0,1.09,0.0,0.0,0,585.0,1,0.177,2.75798267
Kepler-351,0.0,0.0,0.0,0.0,0,1117.85,3,0.243,142.544247
Kepler-1062,0.0,0.75,0.0,0.0,0,388.0,1,0.157,9.30412078
Kepler-1063,0.0,1.09,0.0,0.0,0,365.0,1,0.133,14.07971466
Kepler-1064,0.0,0.85,0.0,0.0,0,374.0,1,0.138,16.54080322
Kepler-1065,0.0,0.94,0.0,0.0,0,1078.0,2,0.333,3.60930891
Kepler-1065,0.0,0.94,0.0,0.0,0,1078.0,2,0.143,2.37030743
Kepler-1066,0.0,0.98,0.0,0.0,0,399.0,1,0.211,1.93155984
Kepler-1067,0.0,0.95,0.0,0.0,0,689.0,1,0.071,0.76212926
Kepler-1068,0.0,1.01,0.0,0.0,0,1532.0,1,0.324,16.92344113
