pl_hostname,pl_orbeccen,st_mass,pl_bmassj,pl_orbsmax,st_spstr,st_dist,pl_pnum,st_rad,pl_radj,pl_orbper,st_vsini,pl_tranflag,pl_rvflag,ra,dec,pl_cbflag
HD 43691,0.0796,1.32,2.55,0.238,G0,85.81,1,1.6,0.0,36.9987,4.7,0,1,94.894485,41.092304,0
HD 44219,0.61,1.0,0.58,1.19,G2 V,50.4,1,1.32,0.0,472.3,2.22,0,1,95.059677,-10.725009,0
HD 45364,0.1684,0.82,0.1872,0.6813,K0 V,34.39,2,0.0,0.0,226.93,1.0,0,1,96.410316,-31.480953,0
HD 45364,0.0974,0.82,0.6579,0.8972,K0 V,34.39,2,0.0,0.0,342.85,1.0,0,1,96.410316,-31.480953,0
HD 45350,0.778,1.02,1.79,1.92,G5 V,46.94,1,0.0,0.0,963.6,1.4,0,1,97.19046,38.962963,0
HD 45652,0.607,0.92,0.433,0.237,G8/K0,34.89,1,0.94,0.0,44.073,2.0,0,1,97.304962,10.933891,0
HD 46375,0.063,0.92,0.226,0.0398,K1 IV-V,29.58,1,0.0,0.0,3.023573,0.9,0,1,98.302597,5.462925,0
HD 148427,0.16,1.64,1.3,1.04,K0 III/IV,71.5,1,3.86,0.0,331.5,2.1,0,1,247.117294,-13.39964,0
HD 149026,0.0,1.42,0.38,0.0,G0,76.03,1,1.41,0.74,2.87589,6.0,1,1,247.623413,38.347309,0
HD 149143,0.0167,1.2,1.33,0.053,G0,73.43,1,1.44,0.0,4.07182,0.0,0,1,248.212708,2.084832,0
HD 150706,0.38,1.17,2.71,6.7,G0 V,28.29,1,0.96,0.0,5894.0,3.7,0,1,247.823273,79.789772,0
HD 152079,0.532,1.15,2.661,4.187,G6 V,88.11,1,1.13,0.0,2918.92,1.8,0,1,253.373901,-46.332958,0
HD 152581,0.04,1.3,1.869,1.66,K0,166.54,1,5.14,0.0,686.5,0.5,0,1,253.431595,11.973746,0
HD 153950,0.34,1.25,2.95,1.28,F8 V,48.52,1,1.28,0.0,499.39999,5.0,0,1,256.128632,-43.309769,0
HD 154345,0.04,0.71,0.82,4.21,G8 V,18.29,1,0.85,0.0,3341.55884,1.2,0,1,255.651688,47.081882,0
HD 154672,0.61,1.18,5.37,0.6,G3 IV,63.16,1,1.32,0.0,163.94,2.2,0,1,257.520477,-56.449268,0
HD 154857,0.46,1.96,2.45,1.29,G5 V,63.56,2,2.3,0.0,408.60001,1.4,0,1,257.815521,-56.680798,0
HD 154857,0.06,1.96,2.58,5.36,G5 V,63.56,2,2.3,0.0,3452.0,1.4,0,1,257.815521,-56.680798,0
HD 155358,0.17,1.15,0.99,0.63,G0,43.67,2,1.38,0.0,194.3,2.0,0,1,257.394226,33.355854,0
HD 155358,0.16,1.15,0.82,1.02,G0,43.67,2,1.38,0.0,391.9,2.0,0,1,257.394226,33.355854,0
HD 156279,0.71,0.95,9.88,0.49,G6,36.23,2,0.95,0.0,131.05,2.51,0,1,258.09668,63.352093,0
HD 156411,0.22,1.25,0.74,1.88,F8 IV/V,56.96,1,2.16,0.0,842.2,3.3,0,1,259.964172,-48.54932,0
HD 156668,0.0,0.77,0.013,0.05,K3 V,24.35,1,0.72,0.0,4.6455,0.0,0,1,259.418701,29.227226,0
HD 156846,0.85,1.38,10.67,1.12,G1 V,47.8,1,1.9,0.0,359.51001,5.05,0,1,260.142944,-19.333746,0
HD 158038,0.29,1.3,1.53,1.5,K0,95.12,1,4.5,0.0,521.0,1.66,0,1,261.439301,27.303341,0
HD 159243,0.02,1.12,1.13,0.11,G0 V,73.46,2,1.12,0.0,12.62,3.8,0,1,263.339783,5.700733,0
HD 159243,0.075,1.12,1.9,0.8,G0 V,73.46,2,1.12,0.0,248.4,3.8,0,1,263.339783,5.700733,0
HD 159868,0.024,1.19,2.218,2.32,G5 V,55.94,2,2.13,0.0,1184.1,2.1,0,1,264.748016,-43.145515,0
HD 159868,0.184,1.19,0.768,1.032,G5 V,55.94,2,2.13,0.0,351.0,2.1,0,1,264.748016,-43.145515,0
HD 160691,0.128,1.08,1.676,1.497,G5 V,15.61,4,0.0,0.0,643.25,4.07,0,1,266.036255,-51.834053,0
HD 160691,0.0985,1.08,1.814,5.235,G5 V,15.61,4,0.0,0.0,4205.8,4.07,0,1,266.036255,-51.834053,0
HD 160691,0.172,1.08,0.03321,0.09094,G5 V,15.61,4,0.0,0.0,9.6386,4.07,0,1,266.036255,-51.834053,0
HD 160691,0.0666,1.08,0.5219,0.921,G5 V,15.61,4,0.0,0.0,310.55,4.07,0,1,266.036255,-51.834053,0
HD 162020,0.28,0.42,9.84,0.08,K3 V,30.85,1,0.75,0.0,8.4282,1.9,0,1,267.659821,-40.318348,0
HD 163607,0.7441,1.12,0.7836,0.362,G5,67.92,2,1.76,0.0,75.2203,1.49,0,1,268.418732,56.391956,0
HD 163607,0.08,1.12,2.201,2.39,G5,67.92,2,1.76,0.0,1272.0,1.49,0,1,268.418732,56.391956,0
HD 164509,0.238,1.12,0.443,0.87,G5,53.19,1,1.11,0.0,280.17,2.4,0,1,270.380127,0.104556,0
HD 164922,0.08,0.93,0.36497,2.16,G9 V,22.0,3,0.95,0.0,1207.0,2.0,0,1,270.628601,26.313002,0
HD 164604,0.35,0.77,1.99792,1.331,K3.5 V,39.41,1,0.0,0.0,641.472,2.0,0,1,270.7789,-28.560644,0
HD 166724,0.734,0.81,3.53,5.42,K0 IV-V,45.19,1,0.0,0.0,5144.0,1.42,0,1,273.498657,-42.575375,0
HD 167042,0.089,1.5,1.7,1.32,K1 IV,49.73,1,4.5,0.0,420.77,0.67,0,1,272.631836,54.286552,0
HD 168443,0.52883,0.99,7.659,0.2931,G5,39.67,2,1.51,0.0,58.11247,2.2,0,1,275.016388,-9.595722,0
HD 168443,0.2113,0.99,17.193,2.8373,G5,39.67,2,1.51,0.0,1749.83,2.2,0,1,275.016388,-9.595722,0
HD 168746,0.11,1.07,0.27,0.07,G5,41.62,1,1.09,0.0,6.404,1.0,0,1,275.457428,-11.922684,0
HD 169830,0.31,1.4,2.88,0.81,F8 V,37.64,2,0.0,0.0,225.62,3.3,0,1,276.956177,-29.816866,0
HD 169830,0.33,1.4,4.04,3.6,F8 V,37.64,2,0.0,0.0,2102.0,3.3,0,1,276.956177,-29.816866,0
HD 170469,0.11,1.1,0.66,2.24,G5 IV,60.28,1,1.24,0.0,1145.0,1.7,0,1,277.295746,11.695502,0
HD 171028,0.59,1.53,2.62,1.32,G0,112.01,1,2.47,0.0,550.0,2.3,0,1,278.064527,6.945743,0
HD 171238,0.234,0.96,2.72,2.57,G8 V,44.87,1,1.01,0.0,1532.0,1.48,0,1,278.681976,-28.072313,0
HD 173416,0.21,2.0,2.7,1.16,G8,132.68,1,13.5,0.0,323.6,0.0,0,1,280.900452,36.556606,0
HD 175167,0.54,1.37,8.97,2.4,G5 IV/V,71.23,1,1.75,0.0,1290.0,0.0,0,1,285.003479,-69.944244,0
HD 175541,0.11,1.39,0.598,0.975,G8 IV,130.08,1,4.19,0.0,298.43,2.9,0,1,283.920349,4.265325,0
HD 177830,0.1,1.7,1.69,1.14,K0,62.88,2,3.26,0.0,410.10001,2.5,0,1,286.336548,25.92066,0
HD 177830,0.3,1.7,0.15,0.5137,K0,62.88,2,3.26,0.0,110.9,2.5,0,1,286.336548,25.92066,0
HD 178911 B,0.11,1.24,8.03,0.34,G5,41.02,1,1.08,0.0,71.484,1.9,0,1,287.262939,34.59985,0
